WD,First Amount,First Cut,Second Amount,Second Cut,Third Amount,Third Cut
2007,10,1,15,10,20,20
2008,10,1,15,10,20,20
2038,10,1,15,10,20,20
2081,10,1,15,5,20,15
2082,10,1,15,5,20,15
2083,10,1,15,5,20,15
2084,10,1,15,5,20,15
2139,10,1,15,8,20,20
2140,10,1,15,8,20,20
2141,10,1,15,8,20,20
2142,10,1,15,8,20,20
2187,10,1,15,8,20,15
2188,10,1,15,8,20,15
2223,10,1,15,10,20,15
2224,10,1,15,10,20,15
2247,10,1,15,8,20,15
2249,10,1,15,8,20,20
2250,10,1,15,8,20,20
2295,10,1,15,8,20,20
2296,10,1,15,8,20,20
2297,10,1,15,8,20,20
2298,10,1,15,8,20,20
2299,10,1,15,8,20,20
2300,10,1,15,8,20,20
2301,10,1,15,8,20,20
2302,10,1,15,8,20,20
2309,10,1,15,8,20,15
2310,10,1,15,8,20,15
2311,10,1,15,8,20,15
2312,10,1,15,8,20,15
2331,10,1,15,5,20,15
2332,10,1,15,5,20,15
2346,10,1,15,5,20,15
2349,10,1,15,5,20,15
2350,10,1,15,5,20,15
2351,10,1,15,5,20,15
2379,10,1,15,5,20,15
2380,10,1,15,5,20,15
2381,10,1,20,10,25,20
2382,10,1,20,10,25,20
2383,10,1,20,15,25,25
2384,10,1,20,15,25,25
2431,10,1,15,10,20,15
2432,10,1,15,10,20,15
2447,10,1,15,10,20,15
2448,10,1,15,10,20,15
2449,10,1,15,8,20,15
2450,10,1,15,8,20,15
2451,10,1,15,8,20,15
2452,10,1,15,8,20,15
2453,10,1,15,8,20,15
2454,10,1,15,8,20,15
2473,10,1,15,8,20,15
2474,10,1,15,8,20,15
2495,10,1,15,8,20,15
2496,10,1,15,8,20,15
2497,10,1,15,10,20,15
2498,10,1,15,10,20,15
2499,10,1,15,10,20,20
2500,10,1,15,10,20,20
2507,10,1,15,10,20,20
2508,10,1,15,10,20,20
2511,10,1,15,5,20,15
2512,10,1,15,5,20,15
2515,10,1,15,5,20,15
2516,10,1,15,5,20,15
2517,10,1,15,8,20,15
2518,10,1,15,8,20,15
2519,10,1,15,8,20,15
2520,10,1,15,8,20,15
2521,10,1,15,5,20,15
2522,10,1,15,5,20,15
2523,10,1,15,10,20,20
2524,10,1,15,10,20,20
2543,10,1,15,8,20,15
2544,10,1,15,8,20,15
2545,10,1,15,8,20,15
2546,10,1,15,8,20,15
2547,10,1,15,8,20,15
2548,10,1,15,8,20,15
2573,10,1,15,8,20,15
2574,10,1,15,8,20,15
3013,10,1,15,5,20,15
3014,10,1,15,5,20,15
3015,10,1,20,10,25,20
3019,10,1,20,10,25,20
3020,10,1,20,10,25,20
4001,10,1,15,10,20,15
4002,10,1,15,10,20,15
4003,10,1,15,10,20,15
4004,10,1,15,10,20,15
4005,10,1,15,10,20,15
4006,10,1,15,10,20,15
4007,10,1,15,10,20,15
4008,10,1,15,10,20,15
4009,10,1,15,10,20,15
4010,10,1,15,10,20,15
4011,10,1,15,5,20,15
4012,10,1,15,5,20,15
4013,10,1,15,5,20,15
4014,10,1,15,5,20,15
4015,10,1,15,10,20,15
4016,10,1,15,10,20,15
4017,10,1,15,10,20,15
4018,10,1,15,10,20,15
4019,10,1,15,10,20,15
4020,10,1,15,10,20,15
4021,10,1,15,10,20,15
4022,10,1,15,10,20,15
4023,10,1,15,10,20,15
4024,10,1,15,10,20,15
4025,10,1,15,10,20,15
4026,10,1,15,10,20,15
4027,10,1,15,10,20,15
4028,10,1,15,10,20,15
4029,10,1,15,5,20,15
4030,10,1,15,5,20,15
4031,10,1,15,5,20,15
4032,10,1,15,5,20,15
4033,10,1,15,5,20,15
4034,10,1,15,5,20,15
4035,10,1,15,5,20,15
4036,10,1,15,5,20,15
4037,10,1,15,5,20,15
4038,10,1,15,5,20,15
4039,10,1,15,5,20,15
4040,10,1,15,5,20,15
4041,10,1,15,5,20,15
4042,10,1,15,5,20,15
4043,10,1,15,5,20,15
4044,10,1,15,5,20,15
4045,10,1,15,5,20,15
4046,10,1,15,5,20,15
4047,10,1,15,5,20,15
4048,10,1,15,5,20,15
4049,10,1,15,5,20,15
4050,10,1,15,5,20,15
4051,10,1,15,5,20,15
4052,10,1,15,5,20,15
4053,10,1,15,5,20,15
4054,10,1,15,5,20,15
4055,10,1,15,5,20,15
4056,10,1,15,5,20,15
4061,10,1,15,8,20,15
4062,10,1,15,8,20,15
4063,10,1,15,5,20,15
4064,10,1,15,5,20,15
4065,10,1,15,5,20,15
4066,10,1,15,5,20,15
4067,10,1,15,5,20,15
4068,10,1,15,5,20,15
4069,10,1,15,8,20,15
4070,10,1,15,8,20,15
4071,10,1,15,5,20,15
4072,10,1,15,5,20,15
4073,10,1,15,5,20,15
4074,10,1,15,5,20,15
4075,10,1,15,5,20,15
