WD,Area,Wage,Name,Code
2007,99000,0,Vending Machine Repairer),99842
2007,99000,15.93,Vending Machine Repairer,99841
2007,99000,13.9,Vending Machine Attendant,99840
2007,99000,14.97,Surveying Technician,99832
2007,99000,10.94,Surveying Aide,99831
2007,99000,17.75,Survey Party Chief,99830
2007,99000,12.71,School Crossing Guard,99820
2007,99000,11.63,Sales Clerk,99810
2007,99000,12.79,Refuse Collector,99730
2007,99000,16.3,Recycling Specialist,99711
2007,99000,14.15,Recycling Laborer,99710
2007,99000,11.95,Photofinishing Worker,99510
2007,99000,12.76,Pest Controller,99410
2007,99000,22.65,Mortician,99310
2007,99000,13.46,Laboratory Animal Caretaker II,99252
2007,99000,8.61,Laboratory Animal Caretaker I,99251
2007,99000,22.74,Embalmer,99095
2007,99000,8.43,Desk Clerk,99050
2007,99000,9.3,Cashier,99030
2007,31000,17.62,"Truckdriver, Tractor-Trailer",31364
2007,31000,17.62,"Truckdriver, Heavy",31363
2007,31000,16.82,"Truckdriver, Medium",31362
2007,31000,16.25,"Truckdriver, Light",31361
2007,31000,10.9,Taxi Driver,31310
2007,31000,16.25,Shuttle Bus Driver,31290
2007,31000,10.11,Parking and Lot Attendant,31260
2007,31000,14.96,Driver Courier,31043
2007,31000,13.94,Bus Driver,31030
2007,31000,10.71,Bus Aide,31020
2007,30000,25.48,"Weather Observer, Senior (see 2)",30621
2007,30000,23.21,"Weather Observer, Combined Upper Air Or (see 2)",30620
2007,30000,22.74,Unexploded (UXO) Sweep Personnel,30495
2007,30000,22.74,Unexploded (UXO) Safety Escort,30494
2007,30000,32.97,Unexploded Ordnance (UXO) Technician III,30493
2007,30000,27.51,Unexploded Ordnance (UXO) Technician II,30492
2007,30000,22.74,Unexploded Ordnance (UXO) Technician I,30491
2007,30000,31.52,Technical Writer III,30463
2007,30000,26.06,Technical Writer II,30462
2007,30000,21.3,Technical Writer I,30461
2007,30000,25.48,Photo-Optics Technician,30390
2007,30000,34.01,Paralegal/Legal Assistant IV,30364
2007,30000,28.11,Paralegal/Legal Assistant III,30363
2007,30000,22.98,Paralegal/Legal Assistant II,30362
2007,30000,18.54,Paralegal/Legal Assistant I,30361
2007,30000,25.48,Mathematical Technician,30240
2007,30000,18.92,Laboratory Technician,30210
2007,30000,25.48,Environmental Technician,30090
2007,30000,40.89,Engineering Technician VI,30086
2007,30000,33.81,Engineering Technician V,30085
2007,30000,28.62,Engineering Technician IV,30084
2007,30000,21,Engineering Technician III,30083
2007,30000,18,Engineering Technician II,30082
2007,30000,15.98,Engineering Technician I,30081
2007,30000,28.55,Drafter/CAD Operator IV,30064
2007,30000,23.21,Drafter/CAD Operator III,30063
2007,30000,20.81,Drafter/CAD Operator II,30062
2007,30000,18.6,Drafter/CAD Operator I,30061
2007,30000,22.83,Civil Engineering Technician,30040
2007,30000,25.48,Cartographic Technician,30030
2007,30000,25.48,Archeological Technician III,30023
2007,30000,20.81,Archeological Technician II,30022
2007,30000,18.6,Archeological Technician I,30021
2007,30000,27.16,"Air Traffic Control Specialist, Terminal (HFO) (see 2)",30012
2007,30000,24.66,"Air Traffic Control Specialist, Station (HFO) (see 2)",30011
2007,30000,35.77,"Air Traffic Control Specialist, Center (HFO) (see 2)",30010
2007,29000,18.56,Stevedore II,29042
2007,29000,16.9,Stevedore I,29041
2007,29000,17.7,Line Handler,29030
2007,29000,17.7,Hatch Tender,29020
2007,29000,17.7,Blocker And Bracer,29010
2007,28000,15.65,Swimming Pool Operator,28690
2007,28000,12.53,Sports Official,28630
2007,28000,17.94,Recreation Specialist,28515
2007,28000,11.48,Recreation Aide/Health Facility Attendant,28510
2007,28000,15.73,Park Attendant (Aide),28350
2007,28000,12.21,Lifeguard,28310
2007,28000,14.06,Gate Attendant/Gate Tender,28210
2007,28000,8.38,Carnival Worker,28043
2007,28000,10.62,Carnival Equipment Repairer,28042
2007,28000,10.11,Carnival Equipment Operator,28041
2007,27000,20.71,Police Officer II,27132
2007,27000,18.64,Police Officer I,27131
2007,27000,13.55,Guard II,27102
2007,27000,10.85,Guard I,27101
2007,27000,16.82,Firefighter,27070
2007,27000,15.28,Detention Officer,27040
2007,27000,13.55,Detection Dog Handler,27030
2007,27000,16.82,Court Security Officer,27010
2007,27000,15.28,Corrections Officer,27008
2007,27000,10.85,Baggage Inspector,27007
2007,27000,13.83,Alarm Monitor,27004
2007,25000,19.88,Water Treatment Plant Operator,25210
2007,25000,14.85,Ventilation Equipment Tender,25190
2007,25000,20.75,Stationary Engineer,25070
2007,25000,19.88,Sewage Plant Operator,25040
2007,25000,20.75,Boiler Tender,25010
2007,24000,13.55,Homemaker,24630
2007,24000,12.61,Family Readiness And Support Services,24620
2007,24000,10.19,Chore Aide,24610
2007,24000,10.68,Child Care Center Clerk,24580
2007,24000,8.56,Child Care Attendant,24570
2007,23000,16.43,Woodworker,23980
2007,23000,18.83,Woodcraft Worker,23970
2007,23000,18.83,Well Driller,23965
2007,23000,18.38,"Welder, Combination, Maintenance",23960
2007,23000,19.6,Telephone Lineman,23950
2007,23000,20.87,Telecommunications Mechanic II,23932
2007,23000,18.89,Telecommunications Mechanic I,23931
2007,23000,17.06,Small Engine Mechanic,23910
2007,23000,18.81,"Sheet-Metal Worker, Maintenance",23890
2007,23000,17.29,Scale Mechanic,23870
2007,23000,18.83,Rigger,23850
2007,23000,18.83,Pneudraulic Systems Mechanic,23820
2007,23000,18.43,"Plumber, Maintenance",23810
2007,23000,19.29,"Pipefitter, Maintenance",23790
2007,23000,17.56,"Painter, Maintenance",23760
2007,23000,22.9,Office Appliance Repairer,23710
2007,23000,20.67,Millwright,23640
2007,23000,24.74,Metrology Technician III,23593
2007,23000,23.8,Metrology Technician II,23592
2007,23000,22.82,Metrology Technician I,23591
2007,23000,14.41,Maintenance Trades Helper,23580
2007,23000,18.59,"Machinist, Maintenance",23550
2007,23000,23.32,Machinery Maintenance Mechanic,23530
2007,23000,18.04,Locksmith,23510
2007,23000,11.36,Laborer,23470
2007,23000,17.99,Laboratory/Shelter Mechanic,23465
2007,23000,22.82,Instrument Mechanic,23460
2007,23000,17.87,Heavy Equipment Operator,23440
2007,23000,20.43,Heavy Equipment Mechanic,23430
2007,23000,19.3,"Heating, Ventilation And Air Contditioning",23411
2007,23000,18.38,"Heating, Ventilation And Air-Conditioning",23410
2007,23000,18.83,Gunsmith III,23393
2007,23000,17.06,Gunsmith II,23392
2007,23000,15.48,Gunsmith I,23391
2007,23000,20.27,Ground Support Equipment Worker,23382
2007,23000,19.34,Ground Support Equipment Servicer,23381
2007,23000,22.24,Ground Support Equipment Mechanic,23380
2007,23000,16.43,General Maintenance Worker,23370
2007,23000,16.8,Fuel Distribution System Operator,23312
2007,23000,18.79,Fuel Distribution System Mechanic,23311
2007,23000,15.72,Fire Extinguisher Repairer,23310
2007,23000,18.79,Fire Alarm System Mechanic,23290
2007,23000,16.54,Fabric Worker,23260
2007,23000,26.62,Electronics Technician Maintenance III,23183
2007,23000,25.55,Electronics Technician Maintenance II,23182
2007,23000,19.44,Electronics Technician Maintenance I,23181
2007,23000,23.21,"Electrician, Maintenance",23160
2007,23000,17.29,Carpet Layer,23140
2007,23000,17.56,"Carpenter, Maintenance",23130
2007,23000,19.76,Cable Splicer,23125
2007,23000,14.66,Bicycle Repairer,23120
2007,23000,18.04,Appliance Mechanic,23110
2007,23000,20.27,Aircraft Worker,23080
2007,23000,19.34,Aircraft Servicer,23060
2007,23000,19.32,"Aircraft, Painter",23050
2007,23000,17.44,Aircraft Mechanic Helper,23040
2007,23000,24.52,Aircraft Mechanic III,23023
2007,23000,23.35,Aircraft Mechanic II,23022
